years_practice,school,name,title,graduate_year,specialties,insurance
2 Years,University of San Diego,Sarah Speers,"Marriage & Family Therapist Intern, ,MFTI",2016,"Weight Loss,Obesity,Eating Disorders",
10+ Years,Alliant International University,Bonnie D Lucks,"Psychologist,, ,PhD",2004,"Personality Disorders,Eating Disorders,Trauma and PTSD","Aetna,BlueCross and BlueShield,Holman Group,Magellan Behavioral Health,Medicare,Multiplan,TRICARE,TriWest,Out of Network"
,,Vanessa Marie Rodriguez,"PsyD,MFT,, ,Marriage & Family Therapist",,"Marital and Premarital,Trauma and PTSD,Domestic Violence",
4 Years,,The Family Guidance & Therapy Ctr of So California,"LMFT,MA,, ,Marriage & Family Therapist",,"Child or Adolescent,Trauma and PTSD,Anxiety","Aetna,BlueCross and BlueShield,Magellan Behavioral Health,Most PPO plans,TRICARE,ValueOptions,Out of Network"
5 Years,Alliant International University,Mallory Serbin,"LMFT,MA,, ,Marriage & Family Therapist",2011,"Relationship Issues,Psychosis,Anger Management",
20+ Years,,Ellen B Margolis,"Psychologist,, ,PhD",,"Relationship Issues,Depression,Anxiety","BlueCross and BlueShield,Medicare"
14 Years,,Gina Z. Woodford,"Psychologist,, ,PhD",,"Depression,Testing and Evaluation,Anxiety",Out of Network
10+ Years,,(Nam) Rindani,"MFT,MA,, ,Marriage & Family Therapist",,"Men's Issues,Relationship Issues,Anxiety",Out of Network
10+ Years,"California State University, Long Beach","Mental Health 365, Inc.","LCSW,Clinical Social Work/Therapist,, ",1997,"Relationship Issues,Life Coaching,Spirituality","Fresenius Health Plan,Medicare,Out of Network"
20+ Years,United States International University,Sean O'Hara,", ,I, ,NCAC, ,PsyD,Psychologist,SAP",1999,"Addiction,Anxiety,Depression",
,,Benjamin Inouye,"Marriage & Family Therapist Intern, ,MA",,"Marital and Premarital,Family Conflict,Relationship Issues",
10+ Years,California School of Professional Psychology,Vanja Gale,"PsyD,Psychologist,, ",2003,"Trauma and PTSD,Parent child interaction therapy,Child or Adolescent","Aetna,BlueCross and BlueShield,MHN,Magellan Behavioral Health,Medi-Cal,Medicaid,PPOs,TERM Provider,TRICARE,TriWest,Victim Compensation Program,Out of Network"
,UCLA,Caitlin Ferriter,"Psychologist,, ,PhD",,"Depression,Relationship Issues,Anger Management","TriWest,Out of Network"
7 Years,Loma Linda University,Dr. Cassidy Freitas,"PhD,LMFT,, ,Marriage & Family Therapist",2015,"Pregnancy, Prenatal, Postpartum,Relationship Issues,Anxiety",Out of Network
,California School of Professional Psychology,People's Care Behavioral Health,"PsyD,Psychologist,, ",2014,"Autism,Learning Disabilities,ADHD","IEHP,Magellan Behavioral Health,Molina"
20+ Years,United States International University,"Dan Bjierke, MFT, CAPP","CAPP,MFT,, ,Marriage & Family Therapist",1989,"Self Esteem,Relationship Issues,Mood Disorders","BlueCross and BlueShield,Health Net,TriWest,UnitedHealthcare"
20+ Years,University San Diego,Transpersonal Relationship Growth,"MA,BA,, ,PhD",1986,"Relationship Issues,Self Esteem,Depression",
,,Erica Moses,"Psychologist,ABPP,, ,PhD",,"Trauma and PTSD,Relationship Issues,Gay","Lyra,TRICARE,TriWest,Out of Network"
,Texas Tech University,Kelly Anderson,"Psychologist,, ,PhD",,"Anxiety,Depression,Trauma and PTSD",Out of Network
< 1 Year,Bethel Seminary San Diego,Curtis Eklund,Marriage & Family Therapist Intern,2013,Sexual Addiction,
10+ Years,Chaminade University of Honolulu,Hallie E Herbert,"LMFT,MS,, ,Marriage & Family Therapist",2002,"Child or Adolescent,Eating Disorders,Relationship Issues","Ceridian,Military OneSource,ValueOptions,Out of Network"
6 Years,LA County + USC,Randall Bailey,"MD,, ,Psychiatrist",2011,"ADHD,Anxiety,Depression","Aetna,Blue Care Network,BlueCross and BlueShield,Cigna,Empire BlueCross,Magellan Behavioral Health,NCPPO,Optum,UnitedHealthcare,WellCare,WellPoint,Out of Network"
7 Years,California School of Professional Psychology,Kristin Steele,"PsyD,Psychologist,, ",2012,"Mood Disorders,Substance Abuse,Testing and Evaluation","Health Net,MHN,PPO- Provider will help Pt seek reimbursement,TRICARE,Out of Network"
20+ Years,San Diego State University,Jan Rakoff,"BCD,LCSW,Clinical Social Work/Therapist,, ",1971,"Relationship Issues,Anxiety,Depression",Out of Network
17 Years,Antioch University,Ami Strutin Belinoff,"LMFT,MA,, ,Marriage & Family Therapist",2002,"Relationship Issues,Child or Adolescent,Thinking Disorders","Super bill,Out of Network"
4 Years,Stanford University Medical Center,Lisa M Groesz,"Psychologist,, ,PhD",2011,"Eating Disorders,Anxiety,Addiction",
10+ Years,San Diego State University,Barbara Moncrieff,"LCSW,Clinical Social Work/Therapist,, ",2000,"Depression,Anxiety,Chronic Pain","Aetna,Anthem,BlueCross and BlueShield,Cigna,Corphealth,LifeSynch,MHN,Magellan Behavioral Health,Medicare,Pacific Foundation for Medical Care,TRICARE,TriWest,Out of Network"
12 Years,University of South Carolina,"Donna Marie Gold, LCSW","MSW,LCSW,Clinical Social Work/Therapist,, ",2005,"Trauma and PTSD,Child or Adolescent,Foster/adopted youth and teen mothers","ACI Specialty Benefits,ACI Specilaities EAP,Blue Shield of California,ComPsych,EAP Consultants,MediCal,PPO,TERM,Out of Network"
,,Liz Kingsbury,"PsyD,Psychologist,, ",,"Life Transitions,Anxiety,Depression","Anthem,Blue Cross,Out of Network"
8 Years,Alliant International University,Shelley Davidescu,"MFT,MA,, ,Marriage & Family Therapist",2010,"Anxiety,Relationship Issues,Eating Disorders",Out of Network
10+ Years,Bethel University,Hiedi Chan,"ATR,MFT,, ,Marriage & Family Therapist",2007,"Marital and Premarital,Relationship Issues,Grief","Anthem,Blue Cross,Blue Shield,BlueCross and BlueShield,Cenpatico,Cigna,ComPsych,Health Net,Magellan Behavioral Health,TriWest,ValueOptions,Out of Network"
,,Lisa Michelle Kemble,"LMFT,MA,, ,Marriage & Family Therapist",,"Self Esteem,Relationship Issues,Spirituality",Out of Network
10+ Years,Alliant International University/ CSPP,Jacquelyn Schwartz,"LMFT,MA,, ,Marriage & Family Therapist",2005,"Relationship Issues,Family Conflict,Anxiety","Anthem,Blue Shield,Cigna,Magellan Behavioral Health,TriWest,TriWest HealthCare/ Veterans Choice Program"
5 Years,Argosy University,Christina Graham-Smith,"LMFT,, ,Marriage & Family Therapist",2013,"Child or Adolescent,Trauma and PTSD,Coping Skills","Aetna,Blue Shield,Cigna,MHN,Magellan Behavioral Health,TRICARE,TriWest,Out of Network"
5 Years,Alliant International University,Rachel V Conway,"PsyD,Psychologist,, ",2011,"Anxiety,Mood Disorders,Trauma and PTSD","Blue Shield,BlueCross and BlueShield,Health Net,Magellan Behavioral Health,TRICARE,TriWest,Out of Network"
,,Morgan Shaw,"PsyD,Psychologist,, ",,"Trauma and PTSD,Sexual Abuse,Domestic Violence",
,University of San Diego,Elizabeth Hooghkirk,"LMFT,, ,Marriage & Family Therapist",,"Relationship Issues,Mood Disorders,Addiction",Cigna
20+ Years,California School of Professional Psychology,Hengameh Motaghed,"Psychologist,, ,PhD",1990,"Depression,Personality Disorders,Psychosis","Aetna,BlueCross and BlueShield,Cigna,Corphealth,First Choice Health,First Health,Great-West Life,Health Net,Horizon Healthcare,MHN,Magellan Behavioral Health,Medicare,Military OneSource,Optum,PacifiCare,TriWest,UnitedHealthcare,ValueOptions"
10+ Years,National University,Walter Pat Martin Lmft And Janet Phillips Lcsw,"EMDR,LCSW,LMFT,, ,Marriage & Family Therapist",1999,"Trauma and PTSD,Divorce,Child or Adolescent","Aetna,Affordable Counseling with Sliding Scale,Anthem,Beacon,Behavioral Health Systems,Blue Cross,Blue Shield,BlueCross and BlueShield,Ceridian,Cigna,Free Active Duty Coaching (Give an Hour Program),Free Gambling Addiction Counseling,Free Victims of Crime,Health Net,Humana,MHN,Magellan Behavioral Health,Military OneSource,Most National EAP Programs,Optum,TRICARE,TriWest,UnitedHealthcare,Out of Network"
,,Susan Griffin,"CADC,LMFT,MA,, ,Marriage & Family Therapist",,"Family Conflict,Parenting,Divorce",
20+ Years,California School of Professional Psychology,Val Pearson,"Psychologist,, ,PhD",1994,"Lesbian,Gay,Relationship Issues","Aetna,BlueCross and BlueShield,Cigna,MHN,Out of Network"
10+ Years,"University of California, Irvine Medical School",Daniel Brockett,"MD,, ,Psychiatrist",2002,"Depression,Anxiety,Addiction",Out of Network
7 Years,Trinity International University,Jennifer L McMains,"LPCC,LMFT,MA,, ,Marriage & Family Therapist",2005,"Relationship Issues,Mood Disorders,Trauma and PTSD","Any PPO plan,Out of Network"
10+ Years,University of Southern California,Cathy Himlin,"LPCC,LMFT,, ,Marriage & Family Therapist",1991,"Relationship Issues,Divorce,Child or Adolescent","Aetna,TRICARE,Out of Network"
,,Yamilka Urquiza,"Marriage & Family Therapist Intern, ,MFTI",,,
8 Years,LAC + USC,WellPsyche Medical Group,"MD,, ,Psychiatrist",2009,"ADHD,Anxiety,Depression","Aetna,Anthem,Blue Care Network,BlueCross and BlueShield,Cigna,Empire BlueCross,Magellan Behavioral Health,NCPPO,Optum,UnitedHealthcare,WellCare,WellPoint,Out of Network"
20+ Years,United States International University,Haim Belzer,"Psychologist,, ,PhD",1982,"Relationship Issues,Depression,Trauma and PTSD","Aetna,Anthem,BlueCross and BlueShield,Cigna,Holman Group,MHN,Magellan Behavioral Health,Medicare,Optum,PacifiCare,TRICARE,TriWest,UnitedHealthcare,ValueOptions,WellPoint,Out of Network"
4 Years,Bethel Seminary San Diego,Jonathan Steele,"Marriage & Family Therapist Intern, ,MFTI,MA,, ",2014,"Grief,Life Transitions,Internet Addiction",
20+ Years,State University of New York at Stony Brook,Paul M. Whitaker,"Psychologist,, ,PhD",1992,"Depression,Anxiety,Addiction","Aetna,Anthem,Beacon,Beacon Health Options (formerly Value Options),Behavioral Health Systems,Blue Cross,Blue Shield,BlueCross and BlueShield,Ceridian,Cigna,ComPsych,Health Net,MHN,Magellan Behavioral Health,Military OneSource,Optum,TRICARE,TriWest,UniCare,UnitedHealthcare,Out of Network"
8 Years,University of Phoenix,James William Parker,"MFT,MS,, ,Marriage & Family Therapist",,"Relationship Issues,Depression,Anxiety","APS Healthcare,Beech Street,BlueCross and BlueShield,ComPsych,CompCare,Coventry,EAP Consultants,GEHA,H&H Health Associates,Interface EAP,Magellan Behavioral Health,Military OneSource,Mines and Associates,TRICARE,TriWest,Out of Network"
10+ Years,"University of Illinois, Chicago",Keri Rosen,"MSW,BSW, ,Clinical Social Work/Therapist,, ,LCSW",2010,Child or Adolescent,
15+ Years,Pratt Institute,Lisa Falls,"Art Therapist,LPCC,ATR-BC,, ",1995,"Grief,Trauma and PTSD,Anxiety",Out of Network
30+ Years,SDSU,Virgina (Ginny) Powell,"BCD,LCSW,Clinical Social Work/Therapist,, ",1975,"Child or Adolescent,Trauma and PTSD,Anxiety","Aetna,BlueCross and BlueShield,Cigna,Coventry,First Health,Health Net,MHN,Magellan Behavioral Health,Multiplan,PacifiCare,TriWest,UniCare,UnitedHealthcare,Victims of Crime,WellPoint"
37 Years,University of La Verne,"Linda Erwin-Gallagher, LMFT","CEAP,LMFT,, ,Marriage & Family Therapist",1979,"Relationship Issues,Anxiety,Depression","Aetna,Ceridian,Cigna,E4Health,EAP Panels,LifeSynch,MINES,Military OneSource,Out of Network"
30+ Years,Columbia University,"Judy Kaplan Baron, Ph.D., Master Career Counselor","PhD,LMFT,, ,Marriage & Family Therapist",1998,"Career Counseling,Relationship Issues,Divorce",
15+ Years,San Diego State University,Reina Remy,"LCSW,Clinical Social Work/Therapist,, ",2002,"Child or Adolescent,Depression,Trauma and PTSD","Aetna,Anthem,Blue Cross,Ceridian,Cigna,Health Net,MHN,Military OneSource,Multiplan,TRICARE,TriWest,UHC Military and Veterans,Out of Network"
8 Years,"University of Nevada, Reno",Lisa B Campbell,"Psychologist,, ,PhD",2004,"Trauma and PTSD,Depression,Anxiety",
30+ Years,San Diego State University,"Julie H Morrell, MFT","MFT,, ,Marriage & Family Therapist",1982,"Relationship Issues,Anxiety,Trauma and PTSD",".**Pay each session & reimbursed by insurance,Aetna,Calling the 1-800 on the back of your Health Card,Cigna,Will help you determine your Mental Health Coverag,Out of Network"
,,Sarah A Zucker,"PsyD,Psychologist,, ",,"Addiction,Anxiety,Gay",
6 Years,San Diego State University,Nicole C Weiss,"LCSW,Clinical Social Work/Therapist,, ",1998,"Depression,Anxiety,Grief","Aetna,most ppo's,Out of Network"
8 Years,Alliant International University- CSPP,Ashley Komaromi,"PsyD,Psychologist,, ",,,"Blue Shield,Out of Network"
30+ Years,Lewis and Clark College,Louise Jacobus,"LMFT,MA,, ,Marriage & Family Therapist",1981,"Relationship Issues,Grief,Anxiety","ComPsych,MHN,Out of Network"
15+ Years,National University,Elisabeth Caetano,"MFT,MA,, ,Marriage & Family Therapist",1998,"Women's Issues,Codependency","Aetna,Blue Cross,First Health,GEHA,PPO Insurances,ValueOptions,Out of Network"
10 Years,,Marcia K Garceau,"PhD,MFT,, ,Marriage & Family Therapist",,"Anxiety,Behavioral Issues,Obsessive-Compulsive (OCD)",Out of Network
,San Diego State University,Denise O'Neil,"Marriage & Family Therapist Intern, ,MS,MFTI,, ,MPH",,"Mood Disorders,Relationship Issues,Addiction",
7 Years,Alliant University,Autumn Phillips,"PsyD,Psychologist,MA,, ",2008,"Chronic Pain,Sleep or Insomnia,Depression","Aetna,All Private Insurance,Anthem,Beech Street,BlueCross and BlueShield,Cigna,Coventry,First Choice Health,First Health,Guardian,Health Net,MHN,MHNet Behavioral Health,Magellan Behavioral Health,Medicare,Medicare,Molina,Most Workers' Compensation plans,Multiplan,Optum,TRICARE,TriWest,Tricare,UnitedHealthcare,Out of Network"
28 Years,California Coast University,Rancho Bernardo Counseling Services,"PsyD,LMFT,, ,Marriage & Family Therapist",2016,"Relationship Issues,Life Coaching,Grief","HSA,Some insurances covered.,TRICARE,Out of Network"
20+ Years,Fielding Graduate University,Linda Collins,"Psychologist,, ,PhD",1994,,"Aetna,Anthem,Health Net,Out of Network"
,,Dana McNeil,"LMFT,MA,, ,Marriage & Family Therapist",,"Marital and Premarital,Relationship Issues,Sexual Addiction","Flexible Health Savings Account,Health Savings Account,Out of Network"
10+ Years,University of San Diego,Angela Phillips,"LMFT,MA,, ,Marriage & Family Therapist",1998,"Relationship Issues,Child or Adolescent,Anxiety","Aetna,BlueCross and BlueShield,Holman Group,PacifiCare,TRICARE,TriWest,UnitedHealthcare,Out of Network"
10+ Years,"The University of Maryland, College Park",Daniel Singley,"Psychologist,, ,PhD",2005,"Men's Issues,Anxiety,Depression",Out of Network
20+ Years,Professional School of Psychological Studies,Edwin K Yager,"Psychologist,MEdu,MA,, ,PhD",1989,"Trauma and PTSD,Anxiety,Relationship Issues","Blue Cross,Blue Shield,BlueCross and BlueShield,Cigna,Health Net,Magellan Behavioral Health,Medicare,TRICARE,TriWest,UnitedHealthcare,VA Choice,Out of Network"
20+ Years,Georgia State University,Carrie Jaffe,"Psychologist,, ,PhD",1998,"Relationship Issues,Addiction,Personality Disorders","Anthem,BlueCross and BlueShield,Health Net,MHN,Premera,TRICARE,TriWest,Out of Network"
10+ Years,California School of Professional Psychology,John Mingo,"PsyD,Psychologist,, ",2005,"Anxiety,Depression,Coping Skills","Medicare,TRICARE,Out of Network"
,,Liz Bohn,"Marriage & Family Therapist Intern, ,MA",,,
7 Years,Alliant International University,Jordan Sybrandt,"MFT,, ,Marriage & Family Therapist",2008,"Anxiety,Trauma and PTSD,Relationship Issues","Anthem,Cigna,Out of Network"
1 Year,Alliant International University,Janina Scarlet,"Psychologist,, ,PhD",2012,"Anxiety,Trauma and PTSD,Depression",
4 Years,San Diego State University,Claudia Hergesheimer,"LCSW,Clinical Social Work/Therapist,, ",2011,"Relationship Issues,Coping Skills,Pregnancy, Prenatal, Postpartum",
3 Years,"CSPP, Alliant International University",April Koljonen,"PsyD,Psychologist,, ",2009,"Chronic Pain,Trauma and PTSD,Mood Disorders",
15+ Years,San Diego State University,Sue Boyd,"BCD,LCSW,Clinical Social Work/Therapist,, ",2001,"Transgender,Gay,Borderline Personality","Cigna,TRICARE"
8 Years,National University,Michelle D. Motta,"LMFT,MA,RPT,, ,Marriage & Family Therapist",2006,"Trauma and PTSD,Child or Adolescent,Depression","Aetna,BlueCross and BlueShield,Cigna,Magellan Behavioral Health,TRICARE,TriWest,Out of Network"
,,Marcella Jackson,"LCSW,Clinical Social Work/Therapist,, ",,"Depression,Trauma and PTSD,Grief","Cigna,Out of Network"
6 Years,National University,Darcy McLean Aguilar,"LMFT,MA,, ,Marriage & Family Therapist",2008,"Anxiety,Depression,Relationship Issues",Out of Network
2 Years,National University,Erika Thomas,"MFT,MA,, ,Marriage & Family Therapist",2013,"Relationship Issues,Child or Adolescent,Family Conflict",Out of Network
20+ Years,Tulane University,Susan K Ward,"LCSW,Clinical Social Work/Therapist,, ",1981,"Eating Disorders,Weight Management,Parenting","BlueCross and BlueShield,Health Net,Humana,Medicare,PacifiCare,UnitedHealthcare,ValueOptions,WellPoint,Out of Network"
5 Years,Pepperdine University,Nicole Guzman,"PsyD,Psychologist,, ",2009,"Autism,Anxiety,ADHD","Blue Shield,Cigna,MHN,Out of Network"
10+ Years,"California State University, Fullerton",Life Works Counseling,"LMFT,MS,, ,Marriage & Family Therapist",1996,"ESA & Service Animals certification,Depression,Anxiety",
15+ Years,University of Phoenix,Rosanna Reyes Feet,"LMFT,MA,, ,Marriage & Family Therapist",2002,"Depression,Anxiety,Relationship Issues",
10+ Years,University For Humanistic Studies,Michael Tortosa,"MFT,, ,Marriage & Family Therapist",1991,"Depression,Anxiety,Addiction","BlueCross and BlueShield,Holman Group"
7 Years,,Susanna Lenkova Moneva,"LMFT,MA,, ,Marriage & Family Therapist",2001,"Depression,Anxiety,Relationship Issues","Anthem,Blue Cross,Cigna,MHN,Out of Network"
45 Years,San Diego State University,Marge Michaelson,"LCSW,Clinical Social Work/Therapist,ACSW,, ,DSW",1972,"Relationship Issues,Depression,Parenting","ACI Specialty Benefits,Aetna,Blue Shield,BlueCross and BlueShield,Ceridian,Cigna,Coventry,First Health,HMSA,HealthFirst,Horizon Healthcare,MHN,Magellan Behavioral Health,Out of Network"
,,Paul Dooley LMFT,"LMFT,, ,Marriage & Family Therapist",,"Anxiety,Depression",
10+ Years,American Behavioral Studies Institute,Shant A Barmak,"PsyD,Psychologist,, ",1998,"Depression,Anxiety,Relationship Issues","Medicare,TriWest,Out of Network"
,,Trena Lee Ensign,"LMFT,MA,, ,Marriage & Family Therapist",,"Women's Issues,Trauma and PTSD,Relationship Issues",
,San Diego State University,Jennifer Ann Zimmerman,"LCSW,Clinical Social Work/Therapist,, ",2005,"Parenting,Depression,Anxiety",TRICARE
,University of San Diego,Heidi K Beckenbach McGann,"LPCC,Counselor,, ",,"Anxiety,Trauma and PTSD,Depression","Cigna,ComPsych,HMSA,HMSA EAP only,Optum,TriWest,UnitedHealthcare,Out of Network"
10 Years,Alliant International University,Karina Lourdes Bedolla,"LMFT,MA,, ,Marriage & Family Therapist",2007,"Grief,Depression,Anxiety",
,,Achieve TMS: Free Consultation,Psychiatric Nurse Practitioner,,"Depression,Anxiety,Mood Disorders","Aetna,Blue Cross,Blue Shield,BlueCross and BlueShield,Cigna,Empire BlueCross,Free Insurance Check,Most Private Insurance Accepted,Optum,TRICARE,UnitedHealthcare,Out of Network"
6 Years,,Joanna Savarese,"Psychologist,, ,PhD",2008,"Testing and Evaluation,ADHD,Child or Adolescent",
,,Rebecca Rabe,"LMFT,, ,Marriage & Family Therapist",,"Child or Adolescent,Behavioral Issues,Family Conflict","Most PPO Insurance Plans,TRICARE,Out of Network"
1 Year,Fielding Graduate University,Donica Dohrenwend PhD,Psychologist,2014,"Testing and Evaluation,Mood Disorders,Coping Skills",Out of Network
30+ Years,Villanova and University of Penn,San Diego Institute For Couples Families Mary Cipriani-Price,"LMFT,MS,, ,Marriage & Family Therapist",1983,"Relationship Issues,Marital and Premarital,Sex Therapy",
20+ Years,,Angela Copeland,"PsyD,Psychologist,, ",,"Relationship Issues,Anxiety,Trauma and PTSD",
15+ Years,University of North Carolina at Chapel Hill,Ellen M Greenfield,"Psychologist,, ,PhD",1995,"Anxiety,Depression,Eating Disorders",Out of Network
20+ Years,Northwestern University,Sage de Beixedon Breslin,"Psychologist,MA,, ,PhD",1990,"Relationship Issues,Trauma and PTSD,Mood Disorders",Out of Network
8 Years,,C. Allen Ruyle,"LCSW,Clinical Social Work/Therapist,, ,CGP",,"Sexual Abuse,Trauma and PTSD,Depression","Health Net,MHN,Medicare,Out of Network"
20+ Years,Arizona State University,Alana Hecker,"EMDR,LCSW,Clinical Social Work/Therapist,, ",1994,"Trauma and PTSD,Codependency,Substance Abuse",Out of Network
30+ Years,San Diego State University,Steven A Alper,"MSW,LCSW,Clinical Social Work/Therapist,, ",1979,"Depression,Anxiety,Relationship Issues","PPO Out of Network,Out of Network"
20+ Years,Loyola Marymount University,Susan Bell,"LMFT,MA,AT,, ,Marriage & Family Therapist",1991,"Child or Adolescent,Impulse Control Disorders,Trauma and PTSD","BlueCross and BlueShield,Ceridian,Cigna,Health Net,MHN,Magellan Behavioral Health,TRICARE,TriWest,ValueOptions,Out of Network"
,,Jesseca L Ferrigno,"LMFT,MA,, ,Marriage & Family Therapist",,,
6 Years,California School of Professional Psychology,Patty Schroeder,"PsyD,Psychologist,, ",2009,"Eating Disorders,Trauma and PTSD,Anxiety",Out of Network
10+ Years,San Diego State University,Roseann Larson,"LCSW,Clinical Social Work/Therapist,, ",2005,,"PPO,Out of Network"
7 Years,"Alliant International University, CSPP","Kirstin Filizetti, Ph.D.","Psychologist,, ,PhD",,"Mood Disorders,Grief,Anxiety","ACI EAP,APS Healthcare,Aetna,BlueCross and BlueShield,Cigna,EMAP,Health Net,Magellan Behavioral Health,Out of Network"
7 Years,California Graduate Institute,Darryl K Moore,"Psychologist,CSAT,, ,PhD",1998,"Sexual Addiction,Relationship Issues,Men's Issues","Aetna,Blue Shield,Cigna"
20+ Years,,Kim Ward,PhD,,"Life Coaching,Stress,Self Esteem",
,,Catherine M Hornke,"PsyD,MFT,, ,Marriage & Family Therapist",,Child or Adolescent,"Aetna,Anthem,Blue Cross,Cigna,Magellan Behavioral Health,Out of Network"
2 Years,Azusa Pacific University,Tammy Carter,"Marriage & Family Therapist Intern, ,IMFT,MA,, ",2016,"Trauma and PTSD,Grief,Relationship Issues","We are a ""Out of Network PPO Provider,Out of Network"
,,Rita S Romero,"Psychologist,, ,PhD",,"Anxiety,Depression,Trauma and PTSD","Aetna,MHN,Medicare,TRICARE,TriWest,Out of Network"
7 Years,SDSU,Jeri E Wilson,"MSW,LCSW,Clinical Social Work/Therapist,, ",2009,"Grief,Women's Issues,Parenting",
20+ Years,San Francisco State University,Jacqueline Bonelli Smith,"MFT,, ,Marriage & Family Therapist",1999,"Depression,Anxiety,Relationship Issues","Aetna,Anthem,Blue Cross,Cigna,MHN,TRICARE,TriWest,Out of Network"
7 Years,California School of Professional Psychology,Joseph Pando,"PsyD,Psychologist,, ",2014,"Mood Disorders,Grief,Testing and Evaluation","Aetna,Anthem,Any PPO,BlueCross and BlueShield,Ceridian,Corphealth,Magellan Behavioral Health,TRICARE,TriWest,ValueOptions,Out of Network"
10+ Years,San Diego State University,Kendra Penski,"MSW,LCSW,Clinical Social Work/Therapist,, ",,"Trauma and PTSD,Anxiety,Relationship Issues","Cigna,TRICARE,TriWest,Out of Network"
15+ Years,San Diego State University,Kim C Roser-Kedward,"LCSW,Clinical Social Work/Therapist,, ",2000,"Effective Communication Skills,Anxiety,Trauma and PTSD","Aetna,Any PPO, out of network,Blue Cross: PPO, out of network,Blue Shield,Cigna,Health Net,MHN,Medicare,TRICARE,TriWest,Veterans Choice,Victims of Crime Compensation,Out of Network"
35 Years,Temple University,Arthur Pammenter,"Psychologist,, ,PhD",1980,"Anxiety,Relationship Issues,Depression","Aetna,Anthem,Blue Cross,Blue Shield,BlueCross and BlueShield,Call to check for others,Ceridian,Cigna,Health Net,Holman Group,MHN,Magellan Behavioral Health,Medicare,Multiplan,New Directions,Optum,PacifiCare,PreferredOne,TRICARE,UnitedHealthcare,ValueOptions,Out of Network"
15+ Years,,Dr. Jim Coil,"LMFT,EdD,, ,Marriage & Family Therapist",,"Depression,Anxiety,Addiction",Out of Network
,,Meghan Murphy,"Marriage & Family Therapist Intern, ,MA",,"Developmental Disorders,Peer Relationships",
4 Years,California School of Professional Psychology,Cynthia A Cotter,"Psychologist,, ,PhD",2009,"Elderly Persons Disorders,Mood Disorders,Coping Skills","Medi-Medi,Medicare,Medicare Disability,Out of Network"
3 Years,San Diego State University,Sheela Shivaprasad,"MSW,ASW,Pre-Licensed Professional,, ",2014,"Depression,Anger Management,Behavioral Issues",
12 Years,Pepperdine University,Joseph Clinton Whitcomb,"LMFT,, ,Marriage & Family Therapist",2007,"Relationship Issues,Marital and Premarital,Trauma and PTSD","Aetna,Alliance,Anthem,Behavioral Health Systems,Blue Care Network,Blue Cross,Blue Shield,BlueCross and BlueShield,Cigna,MHNet Behavioral Health,Optima,PacifiCare,Pacific Blue Cross,UnitedHealthcare,Out of Network"
4 Years,SDUIS,Belinda Young,"Marriage & Family Therapist Intern, ,Intern, ,MFT,, ,IMF",2012,"ADHD,Anxiety,Depression",Out of Network
10+ Years,San Diego State University,Brenda Wilkinson,"MFT,, ,Marriage & Family Therapist",1999,"Child or Adolescent,Parenting,Behavioral Issues","Aetna,BlueCross and BlueShield,ChoiceCare,Interplan,TRICARE,TriWest"
,,Rebecca Bass-Ching,", ,LMFT,Marriage & Family Therapist,EMDR,CEDS, ,TDWC",,"Trauma and PTSD,Eating Disorders,Relationship Issues",Out of Network
5 Years,Boston University,Noelle Vitor,"LCSW,Clinical Social Work/Therapist,, ",2010,"Emotional Disturbance,Addiction,Dual Diagnosis",
,,Ali Rahimzadeh,"LMFT,MA,, ,Marriage & Family Therapist",,"Gay,Transgender,Relationship Issues","Cigna,TRICARE"
,,NISD Counseling,"Marriage & Family Therapist Intern, ,MS",,"Relationship Issues,Depression,Women's Issues",
30+ Years,University of Alabama,Carl G Clark,"Psychologist,, ,PhD",,"Bipolar Disorder,Anxiety,Depression","Aetna,BlueCross and BlueShield,Ceridian,Cigna,ComPsych,Health Net,Humana,MHN,Magellan Behavioral Health,Medi-Cal,Medicaid,Medicare,Military OneSource,Molina,TRICARE,TriWest,ValueOptions"
43 Years,University of Maryland,Judy Newman Phillips,"Psychologist,, ,PhD",1974,"Depression,Anxiety","Anthem,BlueCross and BlueShield,Out of Network"
41 Years,Case Western Reserve University Medical School,Davis A Suskind,"MD,, ,Psychiatrist",1972,"Self Esteem,Trauma and PTSD,Depression",
20+ Years,University of Southern California,Kenneth Buhr,"LMFT,, ,Marriage & Family Therapist",1975,"Relationship Issues,Depression,Child or Adolescent",
,,Ann Lowe,"PNP,Psychiatric Nurse Practitioner, ,, ,PhD",,"Addiction,Anxiety,Depression",Out of Network
,,Kara Kohnen,"LMFT,, ,Marriage & Family Therapist",,"Child or Adolescent,Behavioral Issues,ADHD",Out of Network
15+ Years,Pepperdine University,Kim Jones,"MFT,MA,, ,Marriage & Family Therapist",1998,"Relationship Issues,Child or Adolescent,Depression","Anthem,Blue Cross,Blue Shield,BlueCross and BlueShield,Call for other plans,TRICARE,TriWest,Out of Network"
,,Brett Caitlin Ford,"Marriage & Family Therapist Intern, ,MFTI,MA,, ",,"Relationship Issues,Sex Therapy,Divorce",
,,Achieve TMS: Free Consultation,Clinical Social Work/Therapist,,"Depression,Anxiety,Mood Disorders","Aetna,Blue Cross,Blue Shield,BlueCross and BlueShield,Cigna,Empire BlueCross,Free Insurance Check,Most Private Insurance Accepted,Optum,TRICARE,UnitedHealthcare,Out of Network"
